threshold,precision,recall,f1,flagged_pct
0.1,0.8871266190853819,0.9750145264381174,0.9289965397923875,58.03037275655776
0.15000000000000002,0.9168502202643172,0.9674607786170831,0.9414758269720102,55.714066574628006
0.20000000000000004,0.9361762214063823,0.963102847181871,0.9494486610339395,54.31814695505446
0.25000000000000006,0.949798038084247,0.9564206856478792,0.9530978575564563,53.16766375210922
0.30000000000000004,0.9596727060198714,0.9540964555490994,0.9568764568764568,52.49271360638134
0.3500000000000001,0.9653538643766657,0.94712376525276,0.9561519284352544,51.802423684614205
0.40000000000000013,0.9724303266406953,0.942765833817548,0.9573683434134829,51.18883264304341
0.45000000000000007,0.9782477341389728,0.9407321324811156,0.9591232227488151,50.77465868998312
0.5000000000000001,0.9829216224458677,0.9363742010459035,0.9590834697217676,50.299125632765765
0.5500000000000002,0.9865072063784115,0.9346310284718187,0.9598687155005221,50.023009664058904
0.6000000000000002,0.9885837704412218,0.9308541545613016,0.95885081550202,49.716214143273504
0.6500000000000001,0.9900651971437442,0.9264962231260895,0.9572264745610085,49.40941862248811
0.7000000000000002,0.9928125,0.9230098779779198,0.9566395663956639,49.08728332566344
0.7500000000000002,0.9946608040201005,0.9201045903544451,0.9559311801992152,48.841846909035134
0.8000000000000002,0.9949510886715052,0.9160371876815805,0.9538647708364847,48.61175026844608
0.8500000000000002,0.9968173138128581,0.9099360836722835,0.951397326852977,48.197576315385795
0.9000000000000002,0.9971098265895953,0.9020918070889018,0.9472239170225747,47.76806258628624
